candidate,num_leaves,support,support_n,max_weighted_abs_smd,ess_broad,ess_specialized,weight_p50,weight_p95,weight_p99,weight_max,best_iterations,source_artifact
primary_leaves_63,63,0.5012263605289917,3818173,0.1799249196728498,671511.9052046901,1040788.8365275408,1.328223074635723,7.579840531485535,15.292060002058284,19.99994754805016,"[3000, 3000, 3000, 3000, 2999]",results/qss_v3/propensity_candidates.csv
primary_leaves_255,255,0.3718728922338639,2832802,0.2675005904169366,500631.0791185192,694406.8184297414,1.388356804015494,10.291215781473358,17.165446912827417,19.999996721745077,"[3000, 3000, 2992, 3000, 3000]",results/qss_v3/propensity_candidates.csv
reference_adjusted,63,0.4966014506813245,3782942,0.1758736146042045,668872.9351226046,1006811.9336465246,1.3130497400507806,7.625722174706925,15.34030795410965,19.999804498676195,"[3000, 3000, 3000, 2998, 3000]",results/qss_v3/propensity_candidates.csv
downstream_deterministic,63,0.5024495704850124,3827491,0.1936941512908124,670755.6472982387,1021386.2786463024,1.3235019266538357,7.688310986057925,15.42540521513386,19.999995231629555,"[3000, 3000, 3000, 3000, 3000]",results/qss_v3/downstream_propensity.csv
