internal_domain_id,display_label,mds_x,mds_y,source_share
0,"Business, economics & policy",-0.0342046685203113,0.1105958442580206,0.0375919891124499
1,Earth & environmental science,0.0523277439937151,0.0167516361008601,0.0215812395117323
2,"Reproduction, metabolism & animal science",-0.0591192525510592,-0.0742028748224163,0.0141980738818197
3,Electrical & control engineering,0.1011279583262825,0.0367187464695831,0.0195872439673927
4,Plant & microbial biology,0.0212225963239773,-0.0534941394670355,0.0539912438722912
5,Energy & thermal engineering,0.0969931905652713,0.0371329081566922,0.0326339108308811
6,Clinical diagnostics & case reports,-0.0822686499365481,-0.0887248788475819,0.0301570924660567
7,Electrochemical materials,0.1429795859428394,-0.036421930098354,0.0450598054966033
8,Humanities & politics,-0.0766478972438503,0.1442627189637385,0.0395582902742292
9,Cell & neural biology,-0.0148226304491285,-0.1059289080167149,0.0390644942078243
10,Social behavior & violence,-0.1240388342734511,0.1059364462768814,0.021858444605095
11,Mental health & cognition,-0.0981659061228007,-0.0131619078014107,0.0323496515079983
12,Computing & networks,0.0128598156191904,0.0788792720366603,0.039436800765828
13,Marine ecology & paleoscience,-0.0219876191268168,0.0302506262957197,0.0117884013313159
14,Immune & inflammatory disease,-0.0721375515794878,-0.1121455937842287,0.0283909224084393
15,Cardiovascular medicine,-0.0634394230087979,-0.0832498044569469,0.0357265373060315
16,Public health & care delivery,-0.1077866308214021,0.0122801929706547,0.0381991753866958
17,Surgical specialties,-0.0251273404663739,-0.0613807910702943,0.0276821029755523
18,Editorial & miscellaneous records,-0.0364924192438765,0.0850548882725035,0.039736213618791
19,Synthetic chemistry,0.1685464520934394,-0.0787332136477452,0.0183663397249007
20,Civil & structural engineering,0.0962196889477994,0.0589857425441173,0.0286059457749214
21,Metallurgy & alloys,0.1533354398454846,-0.0080711730000316,0.0230030586616663
22,Mathematics & theoretical physics,0.0455851788802135,0.0763387642884218,0.0222459046931789
23,Ecology & taxonomy,-0.0537259327181446,-0.0137653329608688,0.0280311567029158
24,"Astronomy, optics & imaging",0.0589857558735744,0.0384770038274734,0.0337014508982516
25,Orthopaedics & sports medicine,-0.0484407063772321,-0.0328827131851717,0.0224219991634206
26,"Climate, land & agriculture",0.0018934545078476,0.0701027700635398,0.0279974531618754
27,Oncology,-0.0752930798530517,-0.1026371119206324,0.0385359495293391
28,Education & language,-0.0610874454447861,0.118072259773902,0.034048153215775
29,Electronic & magnetic materials,0.1835821533304492,-0.0080738422954853,0.023884576083915
30,Drug discovery & pharmaceutics,0.0118952144415019,-0.1079724479061005,0.04370800610635
31,Chronic & infectious disease,-0.0927682409544676,-0.0389931570177499,0.046858372756461
