analysis,outcome,scale,mean_broad,mean_specialized,estimate,se,ci_low,ci_high,bootstrap_ci_low,bootstrap_ci_high,n,journals,support
primary,total_citations,absolute,6.834386790691904,6.168473145968405,-0.665913644723499,0.4352716670057343,-1.5190461120547385,0.1872188226077401,-1.6447418950810324,0.1353924498037974,3818173,20203,0.5012263605289917
primary,near,absolute,2.053085139812083,1.9583436867170108,-0.0947414530950725,0.1142026139319844,-0.3185785764017619,0.1290956702116169,-0.3486507825226054,0.1012599273812164,3818173,20203,0.5012263605289917
primary,intermediate,absolute,1.700108815360676,1.4755700206767526,-0.2245387946839233,0.1346925030140978,-0.4885361005915551,0.0394585112237085,-0.5070662994355033,0.038155433426983,3818173,20203,0.5012263605289917
primary,far,absolute,2.9487290376083526,2.5532862473374123,-0.3954427902709403,0.1566380695822099,-0.7024534066520718,-0.0884321738898089,-0.7514171919996645,-0.1127018777581769,3818173,20203,0.5012263605289917
primary,far_to_near_routing,log_ratio_of_mean_ratios,1.4362429401628454,1.303798850352856,-0.096748438961938,0.0242795762099096,-0.144336408333361,-0.0491604695905151,-0.142620615483123,-0.0434718084830423,3818173,20203,0.5012263605289917
primary,any_far,absolute,0.4592440517784395,0.453480648070554,-0.0057634037078854,0.0041133865398306,-0.0138256413259536,0.0022988339101826,-0.0131617974443551,0.0021070938376779,3818173,20203,0.5012263605289917
