author_role,strata,authors,papers,maximum_pairs,beta_far,beta_near,theta,ratio_change,bootstrap_ci_low,bootstrap_ci_high,bootstrap_draws
first,19086,17940,42674,19509,-0.1599367778073972,-0.1456561616253998,-0.0142806161819973,-0.0141791318433742,-0.1449669059495889,0.1454876708181516,500
last,31211,26159,75739,32522,-0.2902907114619847,-0.2632980980839318,-0.0269926133780529,-0.0266315685975997,-0.1115173774988909,0.0707351506323603,500
