candidate,stage,covariate,mean_broad,mean_specialized,smd,source_artifact
primary_leaves_63,raw,qpc16,0.0010866951524627,0.000770439549455,-0.0043345797224216,results/qss_v3/balance.csv
primary_leaves_63,raw,qpc17,0.0015775487758129,0.0008173554711682,-0.0104908677120452,results/qss_v3/balance.csv
primary_leaves_63,raw,qpc18,-0.0007005399706111,-0.0012330268091888,-0.0076504452215293,results/qss_v3/balance.csv
primary_leaves_63,raw,qpc19,0.0038626975274539,0.0004167639807377,-0.0508498631043928,results/qss_v3/balance.csv
primary_leaves_63,raw,qpc20,-0.0015619722931205,0.0041949554439478,0.0846994709340813,results/qss_v3/balance.csv
primary_leaves_63,raw,qpc21,-0.0010295946134032,-0.0027818928606191,-0.025810686884619,results/qss_v3/balance.csv
primary_leaves_63,raw,qpc22,-0.0014365644071189,0.004441031586481,0.0894355810748145,results/qss_v3/balance.csv
primary_leaves_63,raw,qpc23,-0.0016871753672801,-0.000255712409266,0.0227909147320093,results/qss_v3/balance.csv
primary_leaves_63,raw,qpc24,0.0012342725707829,-0.0029351330361239,-0.064839274302681,results/qss_v3/balance.csv
primary_leaves_63,raw,qpc25,0.0031461459969758,-0.0014403899463574,-0.0719418012046241,results/qss_v3/balance.csv
primary_leaves_63,raw,qpc26,-0.0049923927124975,-0.002727314389031,0.0363059963444377,results/qss_v3/balance.csv
primary_leaves_63,raw,qpc27,-0.0005714862175479,0.0001177063793467,0.0113091301976912,results/qss_v3/balance.csv
primary_leaves_63,raw,qpc28,-0.0033242037502139,-0.0002722400327919,0.0502002435820085,results/qss_v3/balance.csv
primary_leaves_63,raw,qpc29,0.0016377303733668,-0.000981799352757,-0.0433874797921948,results/qss_v3/balance.csv
primary_leaves_63,raw,qpc30,-0.00338138195419,-0.0004015775274763,0.0502878793225636,results/qss_v3/balance.csv
primary_leaves_63,raw,qpc31,-0.0019285580489258,0.0003041215614757,0.0386472407364591,results/qss_v3/balance.csv
primary_leaves_63,raw,qpc32,0.0028829026436657,0.000760315598402,-0.0377064881311703,results/qss_v3/balance.csv
primary_leaves_63,raw,reference_fields,2.837785123127896,2.8231530504908835,-0.0056823015712354,results/qss_v3/balance.csv
primary_leaves_63,raw,reference_entropy,0.5495115408173701,0.5226329465299745,-0.050471824711672,results/qss_v3/balance.csv
primary_leaves_63,raw,authors_count,4.64290990405272,4.649483695652174,0.0003224772682699,results/qss_v3/balance.csv
primary_leaves_63,raw,countries_count,1.028605214330852,1.0840213008415147,0.0582813571346201,results/qss_v3/balance.csv
primary_leaves_63,raw,institutions_count,1.8581850650766347,2.068617636746143,0.0692298854170451,results/qss_v3/balance.csv
primary_leaves_63,raw,international,0.1704416256175268,0.1981048387096774,0.071396296697061,results/qss_v3/balance.csv
primary_leaves_63,raw,prior_oa_share,0.5537919558161188,0.4208625246650604,-0.3338088671825152,results/qss_v3/balance.csv
primary_leaves_63,raw,prior_english_share,0.9855201595646984,0.9880853842263844,0.0405896553654259,results/qss_v3/balance.csv
primary_leaves_63,raw,lead_prior_venue_specialization,0.8557140349144841,0.8626942655915746,0.6387933325731825,results/qss_v3/balance.csv
primary_leaves_63,raw,lead_prior_venue_specialization__missing,0.1840817195147903,0.179273755259467,-0.0124697179934558,results/qss_v3/balance.csv
primary_leaves_63,raw,lead_prior_embedding_breadth,0.1268470280550509,0.1228940298181177,-0.1600089414035109,results/qss_v3/balance.csv
primary_leaves_63,raw,lead_prior_embedding_breadth__missing,0.2197871497156334,0.2058380084151472,-0.0340857470393332,results/qss_v3/balance.csv
primary_leaves_63,raw,lead_prior_venue_contributors,1.317643222938318,1.3757012622720897,0.0756490482069594,results/qss_v3/balance.csv
primary_leaves_63,raw,lead_prior_breadth_contributors,1.2017235757754432,1.269616935483871,0.087315693319841,results/qss_v3/balance.csv
primary_leaves_63,raw,lead_prior_venue_missing,0.1840817195147903,0.179273755259467,-0.0124697179934558,results/qss_v3/balance.csv
primary_leaves_63,raw,lead_prior_breadth_missing,0.2197871497156334,0.2058380084151472,-0.0340857470393332,results/qss_v3/balance.csv
primary_leaves_63,raw,log1p_reference_count,2.330448519625343,2.3867381078631293,0.0349885544637802,results/qss_v3/balance.csv
primary_leaves_63,raw,log1p_classified_n,2.294258732512491,2.355752769559883,0.0385984604355497,results/qss_v3/balance.csv
primary_leaves_63,raw,log1p_author_mean_prior_works,3.206310236168789,3.3507619226613063,0.0896725162616529,results/qss_v3/balance.csv
primary_leaves_63,raw,log1p_author_max_prior_works,3.878616136677229,4.057565636831854,0.0933767533550564,results/qss_v3/balance.csv
primary_leaves_63,raw,log1p_author_mean_prior_citations,5.60210953344864,5.919505617869575,0.1115682026847569,results/qss_v3/balance.csv
primary_leaves_63,raw,log1p_author_max_prior_citations,6.359537405195757,6.710772784589457,0.1097753562061903,results/qss_v3/balance.csv
primary_leaves_63,raw,log1p_institution_mean_prior_works,7.041721091492214,7.269057460436794,0.0576031193328773,results/qss_v3/balance.csv
primary_leaves_63,raw,log1p_institution_max_prior_works,7.362978262442857,7.6377977027367345,0.0659092765817099,results/qss_v3/balance.csv
primary_leaves_63,raw,log1p_institution_mean_prior_citations,9.598332441122643,9.969476531142575,0.0694982521386627,results/qss_v3/balance.csv
primary_leaves_63,raw,log1p_institution_max_prior_citations,9.934017382695682,10.353036171098672,0.0752027723003383,results/qss_v3/balance.csv
primary_leaves_63,raw,log1p_history_n,6.555942625770782,6.582872664856961,0.0194964416451081,results/qss_v3/balance.csv
primary_leaves_63,raw,log1p_prior_prestige,0.8395086232129185,0.946111289598889,0.1662281365295552,results/qss_v3/balance.csv
primary_leaves_63,raw,choice_prevalence,0.5360215405977447,0.5699194797646838,0.2436209489962765,results/qss_v3/balance.csv
primary_leaves_63,raw,publication_year=2015,0.1564520527173131,0.1517829593267882,-0.0129318492790959,results/qss_v3/balance.csv
primary_leaves_63,raw,publication_year=2016,0.1569355962912273,0.1551858345021038,-0.0048214513822212,results/qss_v3/balance.csv
primary_leaves_63,raw,publication_year=2017,0.1609106759002013,0.1586167601683029,-0.0062609436207145,results/qss_v3/balance.csv
primary_leaves_63,raw,publication_year=2018,0.1662758619343174,0.1676428821879383,0.0036655334393176,results/qss_v3/balance.csv
primary_leaves_63,raw,publication_year=2019,0.1678807319925574,0.1826288569424965,0.0387992795875764,results/qss_v3/balance.csv
primary_leaves_63,raw,publication_year=2020,0.1915450811643833,0.1841427068723702,-0.0189527503490348,results/qss_v3/balance.csv
primary_leaves_63,raw,lead_country=AD,6.507988881751794e-07,1.314866760168303e-06,0.0006698427804102,results/qss_v3/balance.csv
primary_leaves_63,raw,lead_country=AE,0.0011213264843258,0.0008401998597475,-0.0089812618146241,results/qss_v3/balance.csv
primary_leaves_63,raw,lead_country=AF,4.685751994861292e-05,3.330995792426368e-05,-0.0021398630929948,results/qss_v3/balance.csv
primary_leaves_63,raw,lead_country=AG,8.460385546277332e-05,4.2952314165497895e-05,-0.0052156767386829,results/qss_v3/balance.csv
primary_leaves_63,raw,lead_country=AL,0.0001522869398329,8.371318373071528e-05,-0.0063131282149155,results/qss_v3/balance.csv
primary_leaves_63,raw,lead_country=AM,0.0003911301317932,0.000250701262272,-0.0078403229797741,results/qss_v3/balance.csv
primary_leaves_63,raw,lead_country=AO,1.4317575539853948e-05,1.665497896213184e-05,0.0005939686762386,results/qss_v3/balance.csv
