omitted_source_macro,metric,broad,specialized,contrast_specialized_minus_broad,direction_concordant,omitted_source_domain
0,directed_modularity,0.4787638660552605,0.5078149673557291,0.0290511013004685,True,"Business, economics & policy"
0,audience_participation,0.7201631982780139,0.6857570623907291,-0.0344061358872848,True,"Business, economics & policy"
0,semantic_span,0.125168804178829,0.1158837806773434,-0.0092850235014856,True,"Business, economics & policy"
1,directed_modularity,0.4817491087226155,0.5104067016815919,0.0286575929589762,True,Earth & environmental science
1,audience_participation,0.7170289502523433,0.6828811471627011,-0.0341478030896421,True,Earth & environmental science
1,semantic_span,0.1258319752213966,0.1166174925860034,-0.0092144826353932,True,Earth & environmental science
2,directed_modularity,0.4831165993600929,0.5116412377441136,0.0285246383840207,True,"Reproduction, metabolism & animal science"
2,audience_participation,0.7160635856657942,0.682000086093589,-0.0340634995722052,True,"Reproduction, metabolism & animal science"
2,semantic_span,0.1253945510879866,0.1161808751069754,-0.0092136759810112,True,"Reproduction, metabolism & animal science"
3,directed_modularity,0.4808093514423011,0.5089469106731995,0.0281375592308984,True,Electrical & control engineering
3,audience_participation,0.7181243881547712,0.6845689502457466,-0.0335554379090246,True,Electrical & control engineering
3,semantic_span,0.1259706460025007,0.1167004471176691,-0.0092701988848316,True,Electrical & control engineering
4,directed_modularity,0.4803990178624555,0.5086633327347558,0.0282643148723003,True,Plant & microbial biology
4,audience_participation,0.7184596162316601,0.6850163227447935,-0.0334432934868665,True,Plant & microbial biology
4,semantic_span,0.1257420756337297,0.1164634945568159,-0.0092785810769137,True,Plant & microbial biology
5,directed_modularity,0.4797830988738698,0.5098844059515931,0.0301013070777232,True,Energy & thermal engineering
5,audience_participation,0.7189527122162842,0.6836994247098016,-0.0352532875064826,True,Energy & thermal engineering
5,semantic_span,0.1260807362799706,0.1168013444133113,-0.0092793918666592,True,Energy & thermal engineering
6,directed_modularity,0.4843965399862937,0.5132227617542444,0.0288262217679506,True,Clinical diagnostics & case reports
