source_macro,target_macro,raw_edges_broad,raw_edges_specialized,ipw_edges_broad,ipw_edges_specialized,rate_broad,rate_specialized,row_share_broad,row_share_specialized,row_share_difference,standardized_share_broad,standardized_share_specialized,standardized_share_difference,pooled_standardized_share,plot_edge,source_domain,citing_domain
0,0,193816,354561,498758.4114189148,597290.4731645584,3.4389663676607776,3.8348322497101743,0.5949314256006873,0.6178524371140812,0.0229210115133938,0.0223646556738353,0.0232263020890931,0.0008616464152578,0.0227954788814642,False,"Business, economics & policy","Business, economics & policy"
0,1,10409,12701,25585.27090787888,21799.404673218727,0.1764118341570858,0.1399604778934925,0.0305187468463953,0.0225498579169092,-0.0079688889294861,0.0011472603991753,0.0008476940132997,-0.0002995663858755,0.0009974772062375,False,"Business, economics & policy",Earth & environmental science
0,2,376,477,812.388708949089,943.0500025749208,0.005601464323369,0.0060547400727873,0.0009690374371471,0.0009755148769145,6.477439767367445e-06,3.642804478679311e-05,3.667154463200453e-05,2.4349984521142244e-07,3.654979470939882e-05,False,"Business, economics & policy","Reproduction, metabolism & animal science"
0,3,1464,2687,4566.2924609184265,5374.296531438828,0.0314848348187795,0.0345050299380701,0.0054467871043123,0.0055593088437029,0.0001125217393905,0.0002047555615231,0.0002089854775252,4.229916002083473e-06,0.0002068705195241,False,"Business, economics & policy",Electrical & control engineering
0,4,1300,1980,3045.088394880295,3730.3307449817657,0.0209960500651124,0.023950143666531,0.0036322570975642,0.0038587488760993,0.000226491778535,0.0001365437692652,0.000145058045738,8.51427647274828e-06,0.0001408009075016,False,"Business, economics & policy",Plant & microbial biology
0,5,7478,11801,19736.83145534992,24584.739062190056,0.1360865261119958,0.1578433851571268,0.0235425829534722,0.0254310785586613,0.0018884956051891,0.0008850125220658,0.000956004828295,7.099230622917892e-05,0.0009205086751804,False,"Business, economics & policy",Energy & thermal engineering
0,6,133,137,222.31966960430145,251.76861083507535,0.0015329062109721,0.0016164503397814,0.0002651884257961,0.000260435846179,-4.752579617112293e-06,9.968960415275873e-06,9.790301494053337e-06,-1.7865892122253765e-07,9.879630954664604e-06,False,"Business, economics & policy",Clinical diagnostics & case reports
0,7,633,599,1401.080973148346,1000.539009451866,0.0096605294962728,0.0064238413852651,0.0016712441968964,0.0010349829658964,-0.0006362612309999,6.28253936539757e-05,3.8907068385550185e-05,-2.391832526842552e-05,5.086623101976294e-05,False,"Business, economics & policy",Electrochemical materials
0,8,10812,20708,27998.89965891838,37471.07887673378,0.1930539356411093,0.2405785931032976,0.0333977831911492,0.0387610357865284,0.0053632525953792,0.0012554891021016,0.0014571044352744,0.0002016153331728,0.001356296768688,False,"Business, economics & policy",Humanities & politics
0,9,173,59,257.7202101945877,145.15454185009003,0.0017769948633131,0.0009319474247252,0.0003074150701959,0.0001501515451353,-0.0001572635250606,1.1556343971809827e-05,5.644495249943925e-06,-5.911848721865904e-06,8.600419610876877e-06,False,"Business, economics & policy",Cell & neural biology
