id,qwen_macro,journal_id,scope_group,umap_x,umap_y
https://openalex.org/W3020157453,0,https://openalex.org/S2739194184,2,-2.5702717,3.9945471
https://openalex.org/W2281164476,0,https://openalex.org/S151579836,2,-2.8938735,4.593729
https://openalex.org/W2289750846,0,https://openalex.org/S2764887140,0,-2.3729053,4.281668
https://openalex.org/W2788555232,0,https://openalex.org/S10134376,0,-1.9502931,3.4345279
https://openalex.org/W2883576011,0,https://openalex.org/S2738550039,0,-2.4202824,4.008723
https://openalex.org/W2593931044,0,https://openalex.org/S27883222,2,-1.7891753,4.078654
https://openalex.org/W1843528340,0,https://openalex.org/S76880069,1,-2.1236138,4.4741235
https://openalex.org/W4230664013,0,https://openalex.org/S179979277,0,-2.5697756,4.240313
https://openalex.org/W2549823678,0,https://openalex.org/S4210195531,1,-2.442785,4.3313894
https://openalex.org/W2988439135,0,https://openalex.org/S128375914,2,-2.2692397,3.434727
https://openalex.org/W3112436668,0,https://openalex.org/S200437886,2,-2.2556002,3.614906
https://openalex.org/W2249356579,0,https://openalex.org/S2736799322,2,-2.6843038,4.011235
https://openalex.org/W2888219579,0,https://openalex.org/S2737540407,2,-2.63661,4.239808
https://openalex.org/W4229675249,0,https://openalex.org/S4210207877,2,-2.406078,4.3407626
https://openalex.org/W2789579747,0,https://openalex.org/S4210226233,2,-2.4407208,4.2589993
https://openalex.org/W1528897832,0,https://openalex.org/S137473582,1,-2.5096827,4.5031185
https://openalex.org/W2912416678,0,https://openalex.org/S110785341,2,-1.7904675,4.171751
https://openalex.org/W2618024789,0,https://openalex.org/S2764886163,0,-2.5577288,4.0101976
https://openalex.org/W2531671825,0,https://openalex.org/S186483588,2,-2.196865,4.5484743
https://openalex.org/W2935778318,0,https://openalex.org/S2739194184,2,-2.2794387,3.8665338
https://openalex.org/W2981617982,0,https://openalex.org/S4210175793,0,-2.7098746,4.114726
https://openalex.org/W2469028172,0,https://openalex.org/S4210192748,2,-1.8565955,4.385833
https://openalex.org/W3041907831,0,https://openalex.org/S62110574,2,-2.4922872,4.4097404
https://openalex.org/W2216115754,0,https://openalex.org/S146764194,1,-1.8248702,3.641756
https://openalex.org/W2407082244,0,https://openalex.org/S84445930,2,-2.2495742,3.1959887
https://openalex.org/W3033845183,0,https://openalex.org/S87933477,2,-2.6695733,3.8561876
https://openalex.org/W3023718972,0,https://openalex.org/S1027468801,2,-2.5996573,4.115104
https://openalex.org/W2956713212,0,https://openalex.org/S145572626,2,-2.8543098,4.515696
https://openalex.org/W2936451974,0,https://openalex.org/S81022070,2,-2.7878046,4.2393026
https://openalex.org/W2792198378,0,https://openalex.org/S54700294,1,-1.9909141,3.5981057
https://openalex.org/W2782733806,0,https://openalex.org/S4210196521,0,-2.1074486,3.5300567
https://openalex.org/W3118114142,0,https://openalex.org/S2764372386,2,-2.0728292,4.4245276
https://openalex.org/W2344392665,0,https://openalex.org/S93284759,2,-1.9358647,4.4714913
https://openalex.org/W3021889392,0,https://openalex.org/S4210211642,0,-2.5985758,4.388113
https://openalex.org/W2756118605,0,https://openalex.org/S94499970,1,-2.8822277,4.348656
https://openalex.org/W3094868421,0,https://openalex.org/S2764678622,2,-2.3238335,3.862149
https://openalex.org/W2590236597,0,https://openalex.org/S83145862,1,-2.6318755,4.0811834
https://openalex.org/W2554013718,0,https://openalex.org/S4210230413,2,-2.449056,4.5075355
https://openalex.org/W2740309041,0,https://openalex.org/S168850678,2,-2.136086,4.7231636
https://openalex.org/W3110404924,0,https://openalex.org/S4393919366,2,-2.4631648,3.877856
https://openalex.org/W2622601499,0,https://openalex.org/S4210192748,2,-2.4796128,4.1607776
https://openalex.org/W2035133213,0,https://openalex.org/S4210234043,0,-2.3158555,4.2836666
https://openalex.org/W3025055129,0,https://openalex.org/S2764513175,0,-1.9741744,3.578695
https://openalex.org/W2913354013,0,https://openalex.org/S4210220523,1,-2.741931,4.061759
https://openalex.org/W2889834817,0,https://openalex.org/S141683002,2,-2.7898543,3.9427645
https://openalex.org/W3117805950,0,https://openalex.org/S2764616245,1,-2.3653116,4.2990904
https://openalex.org/W2965550988,0,https://openalex.org/S4210223487,2,-2.7180028,4.18123
https://openalex.org/W2288767029,0,https://openalex.org/S93666758,2,-2.551945,4.483432
https://openalex.org/W3034941242,0,https://openalex.org/S172573765,0,-2.6434507,3.9262168
https://openalex.org/W2912410692,0,https://openalex.org/S72925349,0,-2.2787654,3.8542995
https://openalex.org/W2751392054,0,https://openalex.org/S202381698,0,-1.8014704,4.078654
https://openalex.org/W2966475824,0,https://openalex.org/S4210169186,0,-2.3445947,3.904846
https://openalex.org/W2332286756,0,https://openalex.org/S4210235277,0,-1.9031469,4.749086
https://openalex.org/W2998672823,0,https://openalex.org/S191320764,1,-2.1733396,3.8549254
https://openalex.org/W4288086121,0,https://openalex.org/S137551407,2,-2.0206969,3.613669
https://openalex.org/W2990250061,0,https://openalex.org/S2764867093,0,-2.0002613,3.5412185
https://openalex.org/W3042008878,0,https://openalex.org/S173896063,2,-2.0531287,3.5781822
https://openalex.org/W2759735107,0,https://openalex.org/S187709482,2,-1.8554677,4.3725343
https://openalex.org/W2811280158,0,https://openalex.org/S96629499,2,-2.7561083,3.9882517
https://openalex.org/W2258343359,0,https://openalex.org/S4210209736,0,-2.4248388,4.379648
https://openalex.org/W4231119017,0,https://openalex.org/S4394735581,2,-2.297216,4.3722873
https://openalex.org/W4234968444,0,https://openalex.org/S204463770,1,-2.4702365,4.306961
https://openalex.org/W3033348577,0,https://openalex.org/S2737349555,2,-2.583745,3.943814
https://openalex.org/W2901898988,0,https://openalex.org/S2765078954,0,-1.9238313,4.419133
https://openalex.org/W2178306644,0,https://openalex.org/S2764481192,2,-2.5539582,4.147189
https://openalex.org/W2560038032,0,https://openalex.org/S2765070305,1,-2.360094,4.114219
https://openalex.org/W2313409139,0,https://openalex.org/S46039370,2,-2.8999104,4.301277
https://openalex.org/W4214952107,0,https://openalex.org/S146707118,2,-2.4525254,4.29346
https://openalex.org/W2915462331,0,https://openalex.org/S134216166,0,-2.2090502,3.663724
https://openalex.org/W2262504764,0,https://openalex.org/S115427279,1,-1.8331183,4.1764426
https://openalex.org/W2982414494,0,https://openalex.org/S38024979,2,-2.6545832,4.1647935
https://openalex.org/W2955610595,0,https://openalex.org/S2764638019,0,-1.7915946,4.4454317
https://openalex.org/W3024254314,0,https://openalex.org/S2764732019,1,-2.0727363,3.5671957
https://openalex.org/W3000276389,0,https://openalex.org/S4210181122,2,-1.8667165,4.0188665
https://openalex.org/W2954686510,0,https://openalex.org/S4210173300,2,-2.4134138,3.944213
https://openalex.org/W2995477071,0,https://openalex.org/S4210169236,1,-2.4864314,4.4590187
https://openalex.org/W3006831021,0,https://openalex.org/S4210229294,1,-1.9237863,3.5300417
https://openalex.org/W2903373804,0,https://openalex.org/S73201230,0,-1.8706048,4.405223
https://openalex.org/W2197367659,0,https://openalex.org/S2764462298,2,-2.1353393,3.7605975
https://openalex.org/W2955627566,0,https://openalex.org/S2764514055,1,-1.945733,4.385013
https://openalex.org/W2888859935,0,https://openalex.org/S2737826994,0,-2.6513357,4.1645365
https://openalex.org/W4318256364,0,https://openalex.org/S4387286599,0,-2.5593102,4.2576685
https://openalex.org/W4206769635,0,https://openalex.org/S146707118,2,-2.4845328,4.296172
https://openalex.org/W3039055470,0,https://openalex.org/S64744539,2,-2.1366553,4.600764
https://openalex.org/W2736821832,0,https://openalex.org/S10134376,2,-2.170015,4.211769
https://openalex.org/W3156304378,0,https://openalex.org/S4210225597,0,-2.4095857,4.2445946
https://openalex.org/W1826292961,0,https://openalex.org/S105799767,2,-2.7432332,3.8483584
https://openalex.org/W4243036053,0,https://openalex.org/S166797808,2,-2.2095473,4.087561
https://openalex.org/W2968729933,0,https://openalex.org/S198325475,1,-2.814299,4.6144557
https://openalex.org/W3099057104,0,https://openalex.org/S4210187594,0,-2.62184,4.9519567
https://openalex.org/W2617653531,0,https://openalex.org/S2737998943,0,-2.4186847,3.891398
https://openalex.org/W2291957641,0,https://openalex.org/S2737826994,0,-2.767661,4.111257
https://openalex.org/W3115026205,0,https://openalex.org/S4220650844,0,-1.960452,3.452894
https://openalex.org/W2607981516,0,https://openalex.org/S122892125,1,-2.4942524,4.092683
https://openalex.org/W4234713422,0,https://openalex.org/S23243006,2,-2.813869,4.0748973
https://openalex.org/W2604464686,0,https://openalex.org/S36206217,1,-2.1589148,3.7462332
https://openalex.org/W2983632738,0,https://openalex.org/S39307421,2,-1.8825964,4.3935533
https://openalex.org/W2803473308,0,https://openalex.org/S114801684,2,-1.4020436,0.35026285
https://openalex.org/W2756190922,0,https://openalex.org/S2764769667,2,-2.6441884,4.3751464
https://openalex.org/W3016882225,0,https://openalex.org/S25293849,0,-1.8875622,4.0647693
https://openalex.org/W4245358364,0,https://openalex.org/S2736107020,1,-2.8223836,3.93891
https://openalex.org/W3005585902,0,https://openalex.org/S152361726,2,-2.048502,4.694916
https://openalex.org/W2773735025,0,https://openalex.org/S4220651900,2,0.79249096,3.3745017
https://openalex.org/W2803105507,0,https://openalex.org/S205451775,0,-1.7307037,4.0313473
https://openalex.org/W2843786567,0,https://openalex.org/S4210227959,1,-1.6724153,4.002582
https://openalex.org/W2766965934,0,https://openalex.org/S2764708357,0,-2.7085586,4.4078465
https://openalex.org/W2735007081,0,https://openalex.org/S579031,2,-2.5260646,3.9951544
https://openalex.org/W2801523554,0,https://openalex.org/S161526671,2,-2.8250806,3.9389558
https://openalex.org/W3080602595,0,https://openalex.org/S4210232594,1,-2.2653227,4.310235
https://openalex.org/W2942591214,0,https://openalex.org/S110036823,2,-2.3794785,4.2021604
https://openalex.org/W2773481318,0,https://openalex.org/S4210167977,2,-2.637692,4.110241
https://openalex.org/W1671376085,0,https://openalex.org/S202381698,0,-2.5813606,4.5784926
https://openalex.org/W2278231271,0,https://openalex.org/S8133038,2,-2.4030073,4.529809
https://openalex.org/W1748697633,0,https://openalex.org/S145572626,2,-2.8068452,3.9063659
https://openalex.org/W2480712660,0,https://openalex.org/S104917558,0,-1.9697145,3.5318124
https://openalex.org/W2906118463,0,https://openalex.org/S2764573166,1,-2.2800903,4.013876
https://openalex.org/W3111994954,0,https://openalex.org/S4306508690,1,-2.3949478,4.447786
https://openalex.org/W2981027213,0,https://openalex.org/S2798341630,2,-2.4495966,4.3625593
https://openalex.org/W2625653287,0,https://openalex.org/S50366009,1,-2.8006194,4.3051257
https://openalex.org/W2783015783,0,https://openalex.org/S206615888,2,-2.6022537,3.8828802
https://openalex.org/W3082930098,0,https://openalex.org/S146099957,1,-2.8316846,4.404382
https://openalex.org/W4234830845,0,https://openalex.org/S4210240710,0,-2.211005,4.1464806
https://openalex.org/W2806698120,0,https://openalex.org/S76880069,1,-2.1554687,3.8024068
https://openalex.org/W3123397752,0,https://openalex.org/S102949365,2,-2.5042338,4.4891996
https://openalex.org/W3087808792,0,https://openalex.org/S35298862,2,-2.3429751,4.382205
https://openalex.org/W2273679554,0,https://openalex.org/S165633816,2,2.488773,8.203058
https://openalex.org/W3108879939,0,https://openalex.org/S10134376,0,-2.0665205,3.7391038
https://openalex.org/W2979696356,0,https://openalex.org/S2764644427,2,-2.3855643,4.312565
https://openalex.org/W2794929068,0,https://openalex.org/S2764401792,2,-2.407063,3.7767375
https://openalex.org/W2620618952,0,https://openalex.org/S100141487,2,-2.3431377,4.1205173
https://openalex.org/W2777073376,0,https://openalex.org/S2764975210,1,-1.8077407,3.7298734
https://openalex.org/W3048731335,0,https://openalex.org/S4306515379,1,-1.874622,4.364574
https://openalex.org/W3006276779,0,https://openalex.org/S96305778,1,-2.3169713,4.7933555
https://openalex.org/W2888739514,0,https://openalex.org/S2764860561,2,-2.8084414,4.3040967
https://openalex.org/W2627031817,0,https://openalex.org/S2739425949,2,-2.6031845,4.05847
https://openalex.org/W2997085355,0,https://openalex.org/S2739380121,0,-2.629548,4.1046247
https://openalex.org/W2917573272,0,https://openalex.org/S2736662123,2,-0.058851358,2.665015
https://openalex.org/W3045010214,0,https://openalex.org/S4210192087,0,-2.5097053,3.73573
https://openalex.org/W3009045024,0,https://openalex.org/S2736655138,2,-2.3509042,4.0256248
https://openalex.org/W2943340270,0,https://openalex.org/S149872823,2,-2.592853,3.9929554
https://openalex.org/W2019551912,0,https://openalex.org/S159637997,2,-2.0095818,3.5418017
https://openalex.org/W3019194951,0,https://openalex.org/S33838238,2,1.1101305,-1.2720228
https://openalex.org/W2788976652,0,https://openalex.org/S4210173259,2,-2.6618304,4.416533
https://openalex.org/W4411373938,0,https://openalex.org/S4306524955,1,-2.135166,3.725286
https://openalex.org/W2976934918,0,https://openalex.org/S120991925,2,-2.540119,4.010377
https://openalex.org/W2947924790,0,https://openalex.org/S4210214391,1,-2.7578955,4.477311
https://openalex.org/W2915044838,0,https://openalex.org/S165666656,1,-2.3665373,3.852613
https://openalex.org/W3031107392,0,https://openalex.org/S4210186506,1,-2.2119403,4.0192676
https://openalex.org/W3113030582,0,https://openalex.org/S4210223774,2,-2.0359497,3.5489495
https://openalex.org/W2884312304,0,https://openalex.org/S99313352,2,-1.9034362,4.013818
https://openalex.org/W2514191358,0,https://openalex.org/S157600745,2,-2.2245886,4.531669
https://openalex.org/W2915765431,0,https://openalex.org/S2764593405,2,-2.6349113,4.1372643
https://openalex.org/W2729460856,0,https://openalex.org/S194662844,2,-1.7515882,4.058648
https://openalex.org/W2530154812,0,https://openalex.org/S5406984137,0,-2.2862291,4.2031817
https://openalex.org/W3045544051,0,https://openalex.org/S4210223487,2,-2.371214,4.383086
https://openalex.org/W2743621208,0,https://openalex.org/S2765075218,2,-2.489,4.037456
https://openalex.org/W4242518757,0,https://openalex.org/S130337233,2,-1.9897941,4.2062726
https://openalex.org/W2561561912,0,https://openalex.org/S2764743394,2,-1.9443324,3.917268
https://openalex.org/W2952803522,0,https://openalex.org/S20489460,2,-2.272375,4.2877436
https://openalex.org/W4246849818,0,https://openalex.org/S4210201977,2,-2.3576422,4.336406
https://openalex.org/W2885237644,0,https://openalex.org/S40877164,1,1.1792569,-1.3404598
https://openalex.org/W2932431579,0,https://openalex.org/S2764696602,1,-2.537729,4.2328196
https://openalex.org/W2216423487,0,https://openalex.org/S89810177,0,-2.6438384,4.4249377
https://openalex.org/W2896463379,0,https://openalex.org/S104597489,2,-1.9254556,3.5887942
https://openalex.org/W3045641732,0,https://openalex.org/S4210223487,2,-2.655932,4.4404364
https://openalex.org/W2318734715,0,https://openalex.org/S35779826,1,5.3857355,-1.4887726
https://openalex.org/W2284906357,0,https://openalex.org/S71783669,2,-2.3227224,4.380334
https://openalex.org/W2736234879,0,https://openalex.org/S4210182968,0,-2.0350974,3.57463
https://openalex.org/W2895109535,0,https://openalex.org/S198098467,2,-2.7189145,4.269196
https://openalex.org/W2898601895,0,https://openalex.org/S2764537343,0,-2.2462392,3.9566507
https://openalex.org/W1961140976,0,https://openalex.org/S165057322,1,-2.220179,4.398979
https://openalex.org/W3041180966,0,https://openalex.org/S65924262,2,-2.4873421,4.4867196
https://openalex.org/W2499100997,0,https://openalex.org/S94044085,1,-2.3860588,4.727659
https://openalex.org/W2789251055,0,https://openalex.org/S168828829,0,1.0801996,3.226405
https://openalex.org/W3125907121,0,https://openalex.org/S149240962,2,-2.8728821,4.365963
https://openalex.org/W2096865275,0,https://openalex.org/S158923391,1,-2.2588675,3.6293504
https://openalex.org/W3005535523,0,https://openalex.org/S82743730,2,-2.6888955,4.311903
https://openalex.org/W2773973558,0,https://openalex.org/S62468778,0,-2.6931813,3.7673955
https://openalex.org/W3011819081,0,https://openalex.org/S4210203267,0,-1.9666369,4.122427
https://openalex.org/W2540156936,0,https://openalex.org/S10134376,2,-2.1437552,3.5849159
https://openalex.org/W4243035592,0,https://openalex.org/S204463770,1,-2.449334,4.326024
https://openalex.org/W2900498045,0,https://openalex.org/S4210175061,0,-2.568078,4.0135226
