journal_id,journal_name,qwen_macro,treatment,n,reach,umap_x,umap_y
https://openalex.org/S106908163,Neuro-Oncology,6,1,3296,1.426458616521672,8.945489,-8.092988
https://openalex.org/S110533041,International Journal of Radiation Oncology*Biology*Physics,27,1,3263,0.7210607787148442,12.244977,-1.682123
https://openalex.org/S4210239733,Case Medical Research,17,1,3255,1.1354227901064649,10.470599,-6.656338
https://openalex.org/S27359860,Vaccine,31,1,3207,1.0572688941963695,8.558075,-2.5075662
https://openalex.org/S38008053,The Journal of Immunology,9,1,3144,3.1142870265136784,15.64217,-3.2472935
https://openalex.org/S165454098,Engineering Structures,20,1,3089,0.4123696699565408,13.512814,15.728474
https://openalex.org/S126644158,Oncotarget,27,1,3082,1.5334107318108694,13.314033,-2.0842886
https://openalex.org/S108427512,Alzheimer s & Dementia,11,1,3081,1.4077693163532772,3.847387,-4.9349995
https://openalex.org/S195663288,Monthly Notices of the Royal Astronomical Society,24,1,3081,0.3799155835598512,7.800998,8.579843
https://openalex.org/S41354064,ChemInform,19,1,3080,1.4413835236184025,20.902828,12.851981
https://openalex.org/S102181007,INTERNATIONAL JOURNAL OF SYSTEMATIC AND EVOLUTIONARY MICROBIOLOGY,4,1,3064,1.2059152025962403,18.391796,0.94651634
https://openalex.org/S106908163,Neuro-Oncology,27,1,3064,1.651510189775531,13.164341,-2.4018216
https://openalex.org/S14436165,Reactions Weekly,11,1,3045,2.736076765042824,4.861945,-4.2537146
https://openalex.org/S62532593,Stroke,15,1,2986,0.913626821732586,12.020974,-10.831832
https://openalex.org/S4210239733,Case Medical Research,15,1,2940,1.387705723966655,12.478959,-10.991692
https://openalex.org/S166159787,Dalton Transactions,7,1,2829,0.7293395756073204,15.061424,11.845711
https://openalex.org/S29980478,Construction and Building Materials,21,1,2778,1.1703851567271353,11.020814,13.978908
https://openalex.org/S166159787,Dalton Transactions,19,1,2736,1.2939660310532373,20.261028,12.442249
https://openalex.org/S25422132,Journal of Solid State Electrochemistry,7,1,1256,0.499527025181387,14.983871,12.479159
https://openalex.org/S9184782,Protein Expression and Purification,4,1,705,1.1967036375886102,18.409328,0.43838853
