evidence,test,level,estimate,ci_low,ci_high,mean_broad,mean_specialized,n,journals
overall,primary,Later citation distribution,-0.096748438961938,-0.144336408333361,-0.0491604695905151,1.4362429401628454,1.303798850352856,3818173,20203
overall,primary,Published-reference distribution,-0.0439751400466237,-0.0601401694215223,-0.0278101106717251,1.5239234902869463,1.4583608692488046,3818173,20203
overall,reference_adjusted,After reference adjustment,-0.0518761010657758,-0.1040803596759921,0.0003281575444403,1.4051825465972867,1.33414564365218,3782942,20211
subgroup,paper_venue_fit,1,-0.1410463944264528,-0.235952796493284,-0.0461399923596216,1.0579506709355213,0.9187762229261538,959091,17497
subgroup,paper_venue_fit,2,-0.1136053568253318,-0.1798534216666268,-0.0473572919840367,1.1921217721268256,1.0640999925077148,956147,18045
subgroup,paper_venue_fit,3,-0.0714099749114233,-0.1210293470787662,-0.0217906027440803,1.3447269146082503,1.2520484625821795,957588,18075
subgroup,paper_venue_fit,4,-0.0595335988609979,-0.1224547560921242,0.0033875583701282,1.8837383894702904,1.7748656120840134,954665,17795
