bin,distance_lo,distance_hi,same_topic,share_broad,share_narrow,log2_ratio_narrow_over_broad,ci_low,ci_high,raw_edges_broad,raw_edges_narrow
0,0.0,0.0,True,0.2854046092423886,0.31692016740901424,0.15111083510998866,0.10755802684113563,0.18597168080246151,2741591,4755032
1,0.0,0.06588117778301239,False,0.034847545510040545,0.042336931161695755,0.2808596545040171,0.09553365109233179,0.43285822772027727,347495,657036
2,0.06588117778301239,0.0813838392496109,False,0.03889002763151258,0.042275962619382476,0.12043734521626559,0.033143563983410354,0.20272440615700701,370628,637558
3,0.0813838392496109,0.0942598208785057,False,0.041739137448431184,0.041818339992503194,0.002735007213707328,-0.10569897668671485,0.12411751384046366,401558,604237
4,0.0942598208785057,0.10778330266475677,False,0.04056890669480764,0.03927578157062915,-0.04673443859488996,-0.11750059300674788,0.02282046598002147,408730,600837
5,0.10778330266475677,0.1203455924987793,False,0.04007032653225762,0.039920777240537816,-0.005394456701622513,-0.06624010652930515,0.05592578159460163,402325,604975
6,0.1203455924987793,0.13339710235595703,False,0.04131436523318058,0.03929949967254536,-0.07213255646884519,-0.1242595673497415,-0.0021368606287538857,413080,592905
7,0.13339710235595703,0.1460724174976349,False,0.042569862219704234,0.04276909828510354,0.006736369978026679,-0.11701606352009876,0.10714010011231641,410796,597313
8,0.1460724174976349,0.1590927392244339,False,0.04303664008389156,0.04164787964217412,-0.047322401930442744,-0.10307245115108797,0.016096059869706213,408955,597971
9,0.1590927392244339,0.1721540242433548,False,0.043896711138479316,0.04030634634464875,-0.12310584023119471,-0.1766263917077236,-0.04672093500844361,424771,582396
10,0.1721540242433548,0.1859893798828125,False,0.04487923192831417,0.041741834947872154,-0.10455396363730252,-0.1563552706889079,-0.05422568802849724,424316,581094
11,0.1859893798828125,0.2008848786354065,False,0.04504346549972019,0.04335066536574609,-0.055263691258708926,-0.1428798675734125,0.023448295415454835,425416,583205
12,0.2008848786354065,0.21672485768795013,False,0.047153623526349664,0.042762748358539576,-0.14101406131166844,-0.19686081629496832,-0.07327522309169292,435021,572164
13,0.21672485768795013,0.23454636335372925,False,0.04810309215281018,0.04482917980064007,-0.10169153206328996,-0.1705007341358365,-0.037731317193215756,439907,567330
14,0.23454636335372925,0.2568552792072296,False,0.05116420484197777,0.045275873731538366,-0.1763923519963142,-0.2450335610424233,-0.09007383513886037,441817,565221
15,0.2568552792072296,0.2898414433002472,False,0.054278794654278546,0.04537703572117021,-0.2584263165348289,-0.36126064918920503,-0.13174877369442442,456963,550183
16,0.2898414433002472,0.6746837054024587,False,0.05703945566185568,0.05009187813625909,-0.18738350917062938,-0.32340753103733094,-0.039534096887865564,482657,524451
