estimand,estimate,se,ci_low,ci_high,bootstrap_ci_low,bootstrap_ci_high,near_broad,near_specialized,distant_broad,distant_specialized,same_journal_nonself_edges,same_journal_unclassified_edges
external,-0.17126693540669147,0.03356148155816996,-0.2370474392607046,-0.10548643155267835,-0.2346013439036288,-0.10113866387276926,2.0816752810755688,1.8477773475235084,3.1242955756320487,2.336729720333711,1888865,19911
inclusive,-0.20228995783949422,0.03528638267309281,-0.2714512678787561,-0.1331286478002323,-0.2669035581043119,-0.12829853787427786,2.1957128598427422,2.0799788558315333,3.279886134012552,2.5379831185774133,1888865,19911
inclusive_minus_external,-0.03102302243280275,0.005493952764751445,-0.04179116985171558,-0.020254875013889916,-0.042129589661020504,-0.021804447094738222,2.1957128598427422,2.0799788558315333,3.279886134012552,2.5379831185774133,1888865,19911
