candidate,stage,covariate,mean_broad,mean_specialized,smd
news_leaves_63,raw,pc01,0.003304861930503196,0.00952057143980614,0.05784595706651122
news_leaves_63,raw,pc02,-0.003729966659178103,0.01932468497351173,0.21074029370334874
news_leaves_63,raw,pc03,-0.006833506637767934,-0.004583846632699337,0.02636519266739939
news_leaves_63,raw,pc04,-0.0020057496452875064,0.002232852038163682,0.05569436809428251
news_leaves_63,raw,pc05,-0.005089314487308878,0.0009197737697488574,0.08396257413382577
news_leaves_63,raw,pc06,0.0015756789930907876,0.000637609013462222,-0.01358150037502675
news_leaves_63,raw,pc07,0.004229794245629856,-0.0022499014292387837,-0.09818141570765848
news_leaves_63,raw,pc08,-0.001284922241920719,-0.002181926585984816,-0.014578805181426327
news_leaves_63,raw,pc09,-0.0029056509472481615,0.0013004129865087856,0.06985418037363572
news_leaves_63,raw,pc10,0.0031111666433844445,-0.0005347198424299195,-0.06386268586971473
news_leaves_63,raw,pc11,0.0024124602207837792,-0.000656903629087367,-0.05643575147602553
news_leaves_63,raw,pc12,-0.0019014509056423767,0.0028646786941469945,0.0883671119608084
news_leaves_63,raw,pc13,-0.0004664967646637997,-0.0008290336676113939,-0.006895350061793919
news_leaves_63,raw,pc14,-0.0021530138736027523,0.0018702152508456936,0.07956903821409872
news_leaves_63,raw,pc15,0.0013643181269441652,-0.004038510439363549,-0.10700277733243488
news_leaves_63,raw,pc16,0.00037294096049481096,0.0034085164836829412,0.060970941987595034
news_leaves_63,raw,pc17,0.0019022976830666695,0.0007780142366456389,-0.023003598817548966
news_leaves_63,raw,pc18,-0.0018187269380533885,0.0006432628752469232,0.050787268019739956
news_leaves_63,raw,pc19,0.0007528915489154576,-2.6165068435596553e-05,-0.01652409822695516
news_leaves_63,raw,pc20,0.0015119364385101728,-0.002139941297695912,-0.07989505650123238
news_leaves_63,raw,pc21,-0.002078720552536584,0.0007562916631787194,0.06341642388974325
news_leaves_63,raw,pc22,0.001254686234397639,-0.0016672928913333501,-0.06578206143471443
news_leaves_63,raw,pc23,-0.0004687854437329027,-0.0024570920194572745,-0.04466262947201482
news_leaves_63,raw,pc24,-0.002068290039928689,0.0008853643316075343,0.06901329315568666
news_leaves_63,raw,pc25,0.0006161068134541632,5.200069051539172e-05,-0.013127379493411596
news_leaves_63,raw,pc26,-0.0006478098284658403,-0.0015272104684025563,-0.0206049700285723
news_leaves_63,raw,pc27,-0.002624461040988068,0.001639412314937111,0.10285525829015645
news_leaves_63,raw,pc28,-0.0013948632550211783,0.0016240406587625044,0.07459929354968789
news_leaves_63,raw,pc29,-0.0003684535353799274,-0.0018335033927176752,-0.03651449736270318
news_leaves_63,raw,pc30,-0.00015247534668065722,0.0003833372944931749,0.013651922359203763
news_leaves_63,raw,pc31,0.0014490899641000099,-0.0012105816750250572,-0.06914248676075768
news_leaves_63,raw,pc32,-0.0007638896541827507,0.0005777537458418143,0.03445438915769444
news_leaves_63,raw,qpc01,-0.007080154202338097,-0.006045711794444657,0.0066238179740879585
news_leaves_63,raw,qpc02,0.00030841732031991996,-0.03512725370264616,-0.23035333195784297
news_leaves_63,raw,qpc03,0.01112256984918252,0.011786870596257732,0.005592862835994467
news_leaves_63,raw,qpc04,-0.015381587444212254,-0.0015713507456484596,0.12930302851178366
news_leaves_63,raw,qpc05,0.002753353819199416,-0.008325135833147718,-0.1040683411788586
news_leaves_63,raw,qpc06,-0.0022364290457022452,-0.006207627054909064,-0.03854384281559661
news_leaves_63,raw,qpc07,-0.007236502592510697,0.007818363291444733,0.15134742178370464
news_leaves_63,raw,qpc08,-0.0027165840846827324,0.0024162170383413358,0.05588506249107703
news_leaves_63,raw,qpc09,0.003735149791507072,0.0012747241117264702,-0.02825743724414512
news_leaves_63,raw,qpc10,-0.0016338568655318959,0.004724039028938479,0.07480796473774284
news_leaves_63,raw,qpc11,0.0003830342240222638,-0.0021065700103393634,-0.030549953540971675
news_leaves_63,raw,qpc12,0.0036107018158894467,-0.0005040707513987658,-0.050777955121178726
news_leaves_63,raw,qpc13,-0.0021900736965812673,-0.005076296478834103,-0.03680367355160442
news_leaves_63,raw,qpc14,0.0005749243458526482,-0.009931521275300408,-0.13425275588400135
news_leaves_63,raw,qpc15,-0.005003178271167268,-0.003950907867556738,0.014264263927422449
news_leaves_63,raw,qpc16,0.0023619245801475923,0.001508030928854725,-0.011750578491828237
news_leaves_63,raw,qpc17,0.0021898080955570164,0.0017681734466678967,-0.005824683608512622
news_leaves_63,raw,qpc18,-0.00035302800795962875,-0.002243369071015623,-0.027202278130147358
news_leaves_63,raw,qpc19,0.0042994654091951055,0.0015496126235510007,-0.040615038474157095
news_leaves_63,raw,qpc20,-0.0020743068281046115,0.004694158779962025,0.09918341745717983
news_leaves_63,raw,qpc21,-0.0003210213814329001,-0.002930745667987749,-0.03851387053980907
news_leaves_63,raw,qpc22,-0.002201624292528154,0.005068719690117158,0.1104932901901307
news_leaves_63,raw,qpc23,-0.002358373136964933,-0.0007557681893717197,0.025410888705504134
news_leaves_63,raw,qpc24,0.0008161137736971671,-0.0049389812883362146,-0.09009742153963358
news_leaves_63,raw,qpc25,0.003394977279692717,-0.0022243131224994554,-0.08860777454842378
news_leaves_63,raw,qpc26,-0.005246771849382824,-0.0018221967110883528,0.054640808441020886
news_leaves_63,raw,qpc27,-0.0015721145792509058,0.00013241981258840384,0.02803754807374065
news_leaves_63,raw,qpc28,-0.0032909961537724193,0.0006960844958787181,0.06564488173761088
news_leaves_63,raw,qpc29,0.0009340434491196393,-0.0015651469962855696,-0.041421210013860524
news_leaves_63,raw,qpc30,-0.0030085733624687825,-0.0005393970487185511,0.04173293314505305
news_leaves_63,raw,qpc31,-0.001992590874337413,7.549369291366493e-06,0.03458960868283972
news_leaves_63,raw,qpc32,0.0021044671495339495,0.00136305002394293,-0.013109257775240206
news_leaves_63,raw,reference_fields,2.8414911846782256,2.684141937336411,-0.06110251117119638
news_leaves_63,raw,reference_entropy,0.5494751183902576,0.4916459314329247,-0.10878158221329455
news_leaves_63,raw,authors_count,4.679880778695454,4.551165416855334,-0.005451873367290894
news_leaves_63,raw,countries_count,1.0295339891339967,1.0465034733342904,0.01733483915602131
news_leaves_63,raw,institutions_count,1.8562707024915,2.0134129236749976,0.04942509784303801
news_leaves_63,raw,international,0.1680890987228376,0.19167255679370934,0.06143011507230366
news_leaves_63,raw,prior_oa_share,0.561584181231466,0.4302269110970739,-0.32843761171466634
news_leaves_63,raw,prior_english_share,0.9843186840887305,0.9876869557872886,0.05002460703427538
news_leaves_63,raw,lead_prior_venue_specialization,0.8552288931181123,0.8625579133735293,0.6561337592792328
news_leaves_63,raw,lead_prior_venue_specialization__missing,0.18009054307057476,0.21154759406716953,0.07933321055586343
news_leaves_63,raw,lead_prior_embedding_breadth,0.12676288683578324,0.12283227925930339,-0.15802070647996955
news_leaves_63,raw,lead_prior_embedding_breadth__missing,0.21644552700951142,0.23701088937237014,0.04913019649094817
news_leaves_63,raw,lead_prior_venue_contributors,1.3151516669484398,1.3202590919632897,0.006547979243774741
news_leaves_63,raw,lead_prior_breadth_contributors,1.198977685662344,1.2194026306779904,0.02596522828186994
news_leaves_63,raw,lead_prior_venue_missing,0.18009054307057476,0.21154759406716953,0.07933321055586343
news_leaves_63,raw,lead_prior_breadth_missing,0.21644552700951142,0.23701088937237014,0.04913019649094817
news_leaves_63,raw,log1p_reference_count,2.3364539633910755,2.2844430014004122,-0.031997483093233484
news_leaves_63,raw,log1p_classified_n,2.2981636180552716,2.2537800253157743,-0.027598803240031694
news_leaves_63,raw,log1p_author_mean_prior_works,3.215280516477233,3.2275030113149676,0.007385343461307196
news_leaves_63,raw,log1p_author_max_prior_works,3.878501265209302,3.907328028940202,0.014655486016416286
news_leaves_63,raw,log1p_author_mean_prior_citations,5.558316625068319,5.6649888568173,0.0365683572627348
news_leaves_63,raw,log1p_author_max_prior_citations,6.306176701062082,6.427365228536213,0.03694539996387207
news_leaves_63,raw,log1p_institution_mean_prior_works,7.14995479500885,7.073190279676494,-0.018832054238263885
news_leaves_63,raw,log1p_institution_max_prior_works,7.466103600280139,7.429458091973709,-0.008516493375416503
news_leaves_63,raw,log1p_institution_mean_prior_citations,9.68224105392912,9.642080785875754,-0.007306358460239251
news_leaves_63,raw,log1p_institution_max_prior_citations,10.013028844605198,10.01257468898761,-7.923260846353355e-05
news_leaves_63,raw,log1p_history_n,6.518106147971638,6.6156826843036765,0.06970817101989805
news_leaves_63,raw,log1p_prior_prestige,0.8203228363295663,0.9064985339209746,0.13243444889948122
news_leaves_63,raw,choice_prevalence,0.5373810656546355,0.5785077624500414,0.2898994769001845
news_leaves_63,raw,publication_year=2018,0.5024806463664845,0.47737362916496406,-0.05024007084499734
news_leaves_63,raw,publication_year=2019,0.49751935363351557,0.5226263708350359,0.05024007084499723
news_leaves_63,raw,lead_country=AE,0.0012794583278544131,0.000898704540183551,-0.011544042297794453
news_leaves_63,raw,lead_country=AF,5.0092985103598555e-05,4.555645134570996e-05,-0.0006560068066930343
news_leaves_63,raw,lead_country=AG,0.00012523246275899637,5.245894397384784e-05,-0.007721073549197853
news_leaves_63,raw,lead_country=AL,0.00013984291674754595,8.973240416579235e-05,-0.004677430658435403
