case_rank,display_label,qwen_macro,broad_id,narrow_id,shared_n,overlap,broad_n,narrow_n,broad_years,narrow_years,broad_treatment_rate,narrow_treatment_rate,broad_scope,narrow_scope,broad_log_prestige,narrow_log_prestige,broad_name,narrow_name,prestige_gap,area_n,area_broad_n,area_narrow_n,area_broad_journals,area_narrow_journals,area_years,area_prestige_sd,score_n,score_journals,near_per_100_broad,near_per_100_narrow,other_area_per_100_broad,other_area_per_100_narrow,other_area_difference_per_100,subgroup_n,journals,far_near_broad,far_near_specialized,theta,theta_ci_low,theta_ci_high,routing_change_percent,routing_ci_low_percent,routing_ci_high_percent
1,Plant & microbial biology,4,https://openalex.org/S113993733,https://openalex.org/S9184782,294,0.45794392523364486,579,705,6,6,0.0,1.0,0.842467016177264,0.8720378940021317,1.1149964157986205,1.0311518571696867,Biotechnology Letters,Protein Expression and Purification,0.12876734057150926,206651,84863,121788,3138,3470,6,0.6511321757272126,206651,6568,200.30298668965725,196.75241303362978,348.26854345831174,284.4418156716272,-63.826727786684586,206651,6568,1.7387086893412471,1.4456840009530565,-0.1845601385200215,-0.30425414252567706,-0.06486613451436594,-16.853006497552524,-26.232663154699033,-6.280708723505546
2,Electrochemical materials,7,https://openalex.org/S26125866,https://openalex.org/S25422132,661,0.42182514358647094,1878,1256,6,6,0.0,1.0,0.8444910552889434,0.8681077416088001,1.4194201812352212,1.2987387397607055,Journal of Materials Science,Journal of Solid State Electrochemistry,0.18294873338717121,172466,67319,105147,2249,2586,6,0.6596462256949307,172466,4812,579.0498476769541,422.14002254204183,519.4789515915171,346.9210567635409,-172.55789482797624,172466,4812,0.897123026066882,0.8218151282469099,-0.08767754050790977,-0.29201560417666916,0.1166605231608496,-8.394377987390744,-25.32431166438942,12.373788194669322
3,Humanities & politics,8,https://openalex.org/S95667342,https://openalex.org/S65256140,314,0.2806076854334227,1661,577,6,6,0.0006020469596628537,1.0,0.8631698039623997,0.8915969921848972,0.7765089027964458,0.5833407333805869,Journal of American History,Journal of the Royal Anthropological Institute,0.3846134979226199,151409,58645,92764,4800,4473,6,0.5022397041684747,151409,8911,33.1732392665641,41.6649791393809,113.74697272547087,124.91286507081556,11.165892345344686,151409,8911,3.4288774699225244,2.9980301838853056,-0.1342774717329176,-0.32409598856561594,0.05554104509978075,-12.565257575300715,-27.681917804166833,5.711240546613805
4,Computing & networks,12,https://openalex.org/S2485537415,https://openalex.org/S147316732,329,0.29533213644524237,1396,832,4,6,0.0,1.0,0.8243265533806466,0.8642812955916396,1.504564569329533,1.597770965968226,IEEE Access,IEEE Communications Letters,0.1448951594676803,150944,79378,71566,3927,5774,6,0.6432678426326803,150944,9456,262.15765611724424,246.52226519635514,406.12203746825253,416.8689215702176,10.746884101965026,150944,9456,1.5491519243924872,1.690999071577495,0.08761188523956653,-0.1311547098891887,0.30637848036832177,9.156438755394136,-12.291792937599876,35.849637346743116
