journal_id,journal_name,qwen_macro,treatment,n,scope_score,reach,umap_x,umap_y
https://openalex.org/S25293849,The FASEB Journal,15,0,3257,0.837479651328428,2.1737557499790356,6.2079945,-2.7481441
https://openalex.org/S25293849,The FASEB Journal,31,0,3211,0.8376738693667455,1.9172130714295883,6.6258383,4.350204
https://openalex.org/S11296630,The Journal of the Acoustical Society of America,20,0,3133,0.8400387714774411,1.6852423884962864,11.638598,18.4909
https://openalex.org/S2898407351,Materials Today Proceedings,21,0,3128,0.8381286467744475,0.9176399238592347,15.673104,20.432005
https://openalex.org/S4220651000,Abstracts with programs - Geological Society of America,1,0,2518,0.8476846233894066,2.0861368357973915,13.291419,13.678635
https://openalex.org/S24807848,Physical Review Letters,29,0,2048,0.8418155266506628,0.9468802905984647,15.285621,16.273739
https://openalex.org/S98085912,Biophysical Journal,9,0,1895,0.8505240645625672,2.730128810740986,14.982658,2.7419636
https://openalex.org/S25293849,The FASEB Journal,11,0,1888,0.8374734790995947,2.520135735805013,3.138602,4.3059464
https://openalex.org/S4220651000,Abstracts with programs - Geological Society of America,13,0,1881,0.8476566398122498,2.2645763255786022,16.138563,10.764799
https://openalex.org/S26125866,Journal of Materials Science,7,0,1878,0.844491055288943,0.7120092776639457,18.213388,18.1454
https://openalex.org/S33442941,Chinese Physics B,29,0,1850,0.8316558891094907,0.8547899376567718,15.561804,16.681355
https://openalex.org/S143744711,Japanese Journal of Applied Physics,29,0,1847,0.8443967973085864,1.1680255882842248,15.934463,16.815002
https://openalex.org/S192650101,Information Sciences,12,0,1832,0.8293365406085321,0.7665837019914385,4.6747465,16.40619
https://openalex.org/S86852077,The Science of The Total Environment,1,0,1717,0.8467080579933388,1.8427475904211075,14.363041,12.590429
https://openalex.org/S182099265,Journal of Biotechnology,4,0,1698,0.8377002728503407,1.2758457984169354,17.97069,5.641697
https://openalex.org/S2898407351,Materials Today Proceedings,7,0,1686,0.8383018276804736,1.2789421924101183,17.945065,18.070114
https://openalex.org/S95667342,Journal of American History,8,0,1660,0.8631699754104778,2.1416411428841156,-1.0132874,10.4491005
https://openalex.org/S94052278,The European Physical Journal C,22,0,1627,0.8390277671662864,0.737348914169094,3.7355857,20.954327
