analysis,fold,outcome,arm,objective,best_iteration,validation_loss
reference_adjusted,0,near,0,poisson,1187,-1.7763363057663148
reference_adjusted,0,near,1,poisson,2173,-2.735841221540357
reference_adjusted,0,far,0,poisson,1143,-4.093089398790773
reference_adjusted,0,far,1,poisson,1454,-2.7132266461691863
reference_adjusted,1,near,0,poisson,945,-1.3350793507918075
reference_adjusted,1,near,1,poisson,2148,-2.917756560185936
reference_adjusted,1,far,0,poisson,867,-3.296520454873012
reference_adjusted,1,far,1,poisson,1434,-2.710025122989979
reference_adjusted,2,near,0,poisson,1118,-1.3048075972340554
reference_adjusted,2,near,1,poisson,2049,-2.5772042819820844
reference_adjusted,2,far,0,poisson,1199,-3.3500678018033367
reference_adjusted,2,far,1,poisson,1313,-2.593798852414455
reference_adjusted,3,near,0,poisson,1052,-1.739714650245678
reference_adjusted,3,near,1,poisson,1872,-2.5674072571379867
reference_adjusted,3,far,0,poisson,1052,-3.8034905163333685
reference_adjusted,3,far,1,poisson,1406,-2.557363602023832
reference_adjusted,4,near,0,poisson,1024,-1.5645523522453397
reference_adjusted,4,near,1,poisson,2427,-2.9640411446003725
reference_adjusted,4,far,0,poisson,1316,-3.638465369595685
reference_adjusted,4,far,1,poisson,1779,-2.86563977846565
