horizon_months,outcome,broad,specialized,specialized_minus_broad,se,ci_low,ci_high,bootstrap_ci_low,bootstrap_ci_high
12,distant_citations,0.3281606974204155,0.2045674246611333,-0.12359327275928217,0.03681749316418372,-0.19575555936108224,-0.05143098615748208,-0.20937708263516003,-0.06178416981407271
12,any_distant,0.14356492752210684,0.11963543100921567,-0.02392949651289117,0.00927336248523069,-0.04210528698394332,-0.005753706041839019,-0.0416269352485914,-0.005117280526267965
12,additional_after_first,0.18459576985146148,0.0849319936208401,-0.09966377623062138,0.03196743805526321,-0.16231995481893727,-0.03700759764230549,-0.17568451238902694,-0.04759499202209168
24,distant_citations,0.9341212313421366,0.6446195314258358,-0.2895016999163008,0.08978907683938671,-0.46548829052149876,-0.11351510931110287,-0.48813245273834666,-0.13363993592261153
24,any_distant,0.28569376885859477,0.25295051910364313,-0.03274324975495163,0.01675844210350646,-0.0655897962778243,0.0001032967679210281,-0.0636175301959037,0.0010589348482527429
24,additional_after_first,0.64842746226831,0.391669012232906,-0.25675845003540404,0.08049163070559531,-0.41452204621837085,-0.09899485385243723,-0.4419465350238644,-0.11703073243717908
36,distant_citations,1.628342619990913,1.1751819513262065,-0.4531606686647065,0.1475067932884002,-0.7422739835099709,-0.16404735381944213,-0.7690163287782111,-0.1906206388870432
36,any_distant,0.37615707900235756,0.33743205928652625,-0.03872501971583131,0.02080479555467582,-0.07950241900299591,0.002052379571333293,-0.07652730824886535,0.002789120812240153
36,additional_after_first,1.2521855411306881,0.8377498918049809,-0.4144356493257072,0.13549793052028827,-0.6800115931454722,-0.14885970550594219,-0.7146153137358813,-0.17464706727315182
48,distant_citations,2.3673580439860267,1.7479525854932945,-0.6194054584927322,0.20849631069259572,-1.0280582274502197,-0.21075268953524462,-1.0414755486332328,-0.24449286188169103
48,any_distant,0.43637414916171346,0.3932884161409531,-0.04308573302076035,0.023277469592066866,-0.08870957342121141,0.002538107379690707,-0.08582019223488753,0.0018074456106496918
48,additional_after_first,1.9309838956216878,1.3546641688429437,-0.5763197267787441,0.19481408091033955,-0.9581553253630096,-0.19448412819447858,-0.9920125633135575,-0.2294892421046642
60,distant_citations,3.124295575416051,2.336729720111242,-0.787565855304809,0.27015545479528646,-1.3170705467035706,-0.2580611639060476,-1.3241349933009356,-0.2899144986977738
60,any_distant,0.4783511089228556,0.4321427726065584,-0.04620833631629717,0.024889260108654807,-0.09499128612926058,0.0025746134966662462,-0.09187170790849117,0.002609670797346435
60,additional_after_first,2.645944467331671,1.9045869474740469,-0.7413575198576243,0.25543627744312475,-1.2420126236461488,-0.2407024160690998,-1.2604932404438631,-0.2828698268708216
