source_macro,target_macro,raw_edges_broad,raw_edges_specialized,ipw_edges_broad,ipw_edges_specialized,rate_broad,rate_specialized,row_share_broad,row_share_specialized,row_share_difference,standardized_share_broad,standardized_share_specialized,standardized_share_difference,pooled_standardized_share,plot_edge
0,0,193816,354561,498758.4114189148,597290.4731645584,3.4389663676607776,3.8348322497101743,0.5949314256006873,0.6178524371140812,0.022921011513393874,0.02236465567383534,0.023226302089093178,0.0008616464152578392,0.022795478881464257,False
0,1,10409,12701,25585.270907878876,21799.404673218727,0.17641183415708583,0.1399604778934925,0.030518746846395373,0.02254985791690924,-0.007968888929486134,0.0011472603991753098,0.0008476940132997444,-0.00029956638587556536,0.0009974772062375271,False
0,2,376,477,812.388708949089,943.0500025749207,0.005601464323369057,0.006054740072787349,0.0009690374371471789,0.0009755148769145463,6.477439767367445e-06,3.642804478679311e-05,3.667154463200453e-05,2.4349984521142244e-07,3.654979470939882e-05,False
0,3,1464,2687,4566.2924609184265,5374.2965314388275,0.03148483481877957,0.0345050299380701,0.005446787104312374,0.005559308843702923,0.00011252173939054963,0.0002047555615231433,0.00020898547752522676,4.229916002083473e-06,0.00020687051952418501,False
0,4,1300,1980,3045.088394880295,3730.3307449817657,0.020996050065112425,0.023950143666531004,0.0036322570975642885,0.003858748876099319,0.00022649177853503039,0.00013654376926525562,0.0001450580457380039,8.51427647274828e-06,0.00014080090750162976,False
0,5,7478,11801,19736.831455349922,24584.739062190056,0.13608652611199581,0.1578433851571268,0.023542582953472203,0.025431078558661325,0.0018884956051891215,0.0008850125220658758,0.0009560048282950547,7.099230622917892e-05,0.0009205086751804653,False
0,6,133,137,222.31966960430145,251.76861083507538,0.0015329062109721327,0.0016164503397814566,0.00026518842579613064,0.00026043584617901834,-4.752579617112293e-06,9.968960415275873e-06,9.790301494053335e-06,-1.7865892122253762e-07,9.879630954664604e-06,False
0,7,633,599,1401.080973148346,1000.5390094518661,0.009660529496272807,0.006423841385265142,0.0016712441968964307,0.0010349829658964427,-0.000636261230999988,6.28253936539757e-05,3.8907068385550185e-05,-2.391832526842552e-05,5.086623101976294e-05,False
0,8,10812,20708,27998.89965891838,37471.07887673378,0.19305393564110937,0.2405785931032976,0.0333977831911492,0.03876103578652841,0.00536325259537921,0.0012554891021016432,0.0014571044352744572,0.00020161533317281403,0.0013562967686880502,False
0,9,173,59,257.7202101945877,145.15454185009003,0.0017769948633131801,0.0009319474247252401,0.0003074150701959674,0.00015015154513530526,-0.00015726352506066212,1.1556343971809829e-05,5.644495249943925e-06,-5.911848721865904e-06,8.600419610876877e-06,False
0,10,16034,27262,40605.958367943764,46493.92738413811,0.2799802909723851,0.29850871587441796,0.048435796062058736,0.04809449947041177,-0.0003412965916469654,0.0018207979182177558,0.0018079679004604468,-1.2830017757308994e-05,0.0018143829093391012,True
0,11,2551,2697,5879.9032373428345,4963.0169069767,0.04054225255228425,0.0318644581586814,0.007013694677217843,0.005133870753316237,-0.0018798239239016055,0.00026365873394402096,0.00019299241346338897,-7.066632048063199e-05,0.00022832557370370496,False
0,12,27512,45596,72375.02077531815,76178.7518786192,0.4990297037737941,0.489096591310127,0.08633072305536352,0.07880123594662854,-0.007529487108734981,0.0032453436011671533,0.002962295203753256,-0.0002830483974138975,0.0031038194024602048,True
0,13,1365,3030,3433.316871523857,5305.434997081757,0.023672906522223907,0.03406291266920105,0.004095345670669761,0.005488076723423969,0.0013927310527542076,0.00015395218986353652,0.00020630772043524358,5.235553057170706e-05,0.00018012995514939004,False
0,14,205,198,625.5260581970215,397.8276128768921,0.004313036185425213,0.0025542047433011784,0.00074614302442503,0.00041152298791068354,-0.0003346200365143465,2.8049000450516173e-05,1.546996768106127e-05,-1.2579032769454904e-05,2.175948406578872e-05,False
0,15,296,255,528.7974560260773,461.9118299484253,0.0036460872136567513,0.002965649816284347,0.0006307627443768063,0.0004778133298416622,-0.0001529494145351441,2.3711626219151923e-05,1.7961953493191198e-05,-5.7496727259607245e-06,2.083678985617156e-05,False
0,16,8898,11941,21578.880192756653,21581.211336493492,0.14878755232128232,0.13855959359692469,0.02573982445613405,0.022324153187109206,-0.0034156712690248427,0.0009676112007113628,0.0008392093235544731,-0.00012840187715688976,0.0009034102621329179,False
0,17,245,271,462.49892377853394,474.76045966148376,0.003188955228702465,0.0030481429110212625,0.0005516802078175677,0.0004911042787826851,-6.057592903488255e-05,2.0738756365832102e-05,1.846158670107626e-05,-2.2771696647558423e-06,1.960017153345418e-05,False
0,18,2181,4438,5723.146211385727,8136.05592417717,0.03946140433435166,0.05223657674995958,0.00682671100177411,0.00841614291052718,0.0015894319087530698,0.0002566296456525343,0.0003163795526613602,5.97499070088259e-05,0.00028650459915694723,False
0,19,72,100,332.4460005760193,192.54684400558472,0.0022922332513486483,0.0012362240486784048,0.0003965498496461797,0.00019917534628867146,-0.00019737450335750823,1.4907097630442833e-05,7.487397449152176e-06,-7.419700181290657e-06,1.1197247539797504e-05,False
0,20,781,932,2045.3475850820541,1695.0746479034424,0.014102782818765357,0.010883024621180164,0.002439741419457979,0.0017534282720911467,-0.0006863131473668321,9.171473287745741e-05,6.591485651391224e-05,-2.579987636354517e-05,7.881479469568482e-05,False
0,21,283,237,576.9380623102188,414.75536584854126,0.003978019311721982,0.0026628873624410334,0.0006881860556838316,0.00042903348556350157,-0.00025915257012033003,2.587028271260644e-05,1.6128222118179585e-05,-9.742060594426855e-06,2.099925241539301e-05,False
0,22,1096,832,2303.4199476242065,1662.5019592046738,0.015882205791663943,0.010673895558029355,0.0027475765457239164,0.0017197342555278724,-0.001027842290196044,0.00010328686759247617,6.464823141011092e-05,-3.8638636182365257e-05,8.396754950129354e-05,False
0,23,1443,1326,3305.959833741188,2672.287694454193,0.02279477282143377,0.01715710444350791,0.003943431031610803,0.0027642822694639007,-0.0011791487621469025,0.00014824141640601041,0.00010391486897742526,-4.432654742858515e-05,0.00012607814269171782,False
0,24,1186,1345,2692.8736436367035,2385.490504026413,0.01856751020294784,0.015315757285982242,0.0032121265909352136,0.002467611970799258,-0.0007445146201359555,0.00012075022783424737,9.276244234003675e-05,-2.798778549421061e-05,0.00010675633508714207,False
0,25,373,414,780.9431489706039,804.4225237369537,0.005384645477405893,0.005164698877709747,0.0009315283918889948,0.000832115091551787,-9.941330033720781e-05,3.501800516582906e-05,3.128086146192003e-05,-3.737143703909024e-06,3.3149433313874545e-05,False
0,26,13765,20189,37048.5829603672,33820.8642206192,0.2554519940981614,0.21714282523064252,0.044192470287150135,0.034985161027768316,-0.009207309259381818,0.0016612828618868137,0.0013151617924531732,-0.0003461210694336405,0.0014882223271699933,True
0,27,433,344,898.9791203737259,603.124383687973,0.006198509918658526,0.003872288176469867,0.0010723246313734448,0.0006238871823456599,-0.0004484374490277849,4.031081586760239e-05,2.3453160166135092e-05,-1.68576557014673e-05,3.188198801686874e-05,False
0,28,16052,28688,41681.57651042938,47898.52046895027,0.2873967365535844,0.3075267382627871,0.04971882010788972,0.04954744623516903,-0.00017137387272068982,0.0018690293441796456,0.0018625870594221711,-6.442284757474494e-06,0.0018658082018009085,True
0,29,250,105,416.7397884130478,179.98719704151154,0.002873443502118327,0.0011555863332170823,0.0004970975741938151,0.00018618332844360004,-0.000310914245750215,1.8686886596919152e-05,6.999001655771497e-06,-1.1687884941147655e-05,1.2842944126345324e-05,False
