author_role,strata,authors,papers,maximum_pairs,beta_far,beta_near,theta,ratio_change,bootstrap_ci_low,bootstrap_ci_high,bootstrap_draws
first,19086,17940,42674,19509,-0.1599367778073972,-0.14565616162539988,-0.01428061618199733,-0.014179131843374212,-0.14496690594958894,0.14548767081815162,500
last,31211,26159,75739,32522,-0.29029071146198476,-0.2632980980839318,-0.026992613378052976,-0.02663156859759976,-0.11151737749889093,0.07073515063236036,500
