outcome,form,mean_broad,mean_narrower,difference,log_mean_ratio
all_pages,count,0.04693476317493807,0.01843552834638707,-0.028499234828550997,-0.9344789287301266
all_pages,any,0.01922067302604347,0.008516989518266592,-0.010703683507776878,-0.8139234844183798
no_wikipedia_slideshare_pages,count,0.0463799913979256,0.01806787435760877,-0.028312117040316827,-0.9427326824524088
no_wikipedia_slideshare_pages,any,0.01885246038787306,0.008207517595730582,-0.01064494279214248,-0.8315929156807634
no_top1_pages,count,0.0401472368707724,0.01642912766069492,-0.02371810921007748,-0.893497781527149
no_top1_pages,any,0.017416874778334035,0.007864959885917252,-0.009551914892416783,-0.7950221149318282
no_top2_pages,count,0.033597098219486574,0.0140257220525694,-0.019571376166917176,-0.8735467673917232
no_top2_pages,any,0.015566881861099531,0.007155581262853768,-0.008411300598245764,-0.7772530515622152
no_top3_pages,count,0.028408194304003976,0.012232334069958807,-0.01617586023404517,-0.8425948559794525
no_top3_pages,any,0.012774975003478045,0.006275087805314592,-0.006499887198163453,-0.7109007016141777
