treatment,category,w,n
0,other_area,12640838.165924907,4338345
0,same_area_other_topic,7095018.491805434,2356090
0,same_topic,8422417.055325866,2741591
1,other_area,11365562.056886435,5861815
1,same_area_other_topic,6578671.834289193,3557061
1,same_topic,8987358.669614673,4755032
