population,estimator,n,journals,broad_n,specialized_n,near_broad,near_specialized,distant_broad,distant_specialized,estimate,relative_change,se,ci_low,ci_high,bootstrap_ci_low,bootstrap_ci_high,january_1_rate_broad,january_1_rate_specialized
all_support,aipw,3827491,20215,1535843,2291648,2.084166198987493,1.951008888270218,2.9588355671617244,2.5505801539730375,-0.08245270348646416,-0.0791450099426354,0.023361331155934407,-0.1282409125520956,-0.03666449442083273,-0.1262770249376481,-0.03232676050640803,0.17774668374306488,0.10805455288072165
all_support,outcome_model_only,3827491,20215,1535843,2291648,1.613580313655928,1.5942095949824415,2.3757013319163405,2.154571811747214,-0.0856232373302282,-0.08205998839304673,0.016993587227654438,-0.1189306682964309,-0.0523158063640255,-0.11806931699918509,-0.05221635432600355,0.17774668374306488,0.10805455288072165
exclude_january_1,aipw,3306877,18167,1262852,2044025,2.200407237203977,2.069593966256944,3.18766199507917,2.7373951535829386,-0.09099092224707506,-0.0869740009139196,0.02302806473475775,-0.13612592912720023,-0.04585591536694987,-0.1331326069320111,-0.04239763296089667,0.17774668374306488,0.10805455288072165
exclude_january_1,outcome_model_only,3306877,18167,1262852,2044025,1.6600150755922054,1.6813651502471931,2.508380622069605,2.2955603787372896,-0.10143975585946907,-0.09646438957108339,0.01229536598102506,-0.12553867318227818,-0.07734083853665996,-0.1260501410015622,-0.07895048297318331,0.17774668374306488,0.10805455288072165
