metric,expected_specialized_direction,broad,specialized,contrast_specialized_minus_broad,se,ci_low,ci_high,bootstrap_ci_low,bootstrap_ci_high,null_broad,null_specialized,direction_concordant
directed_modularity,higher,0.48223160960546263,0.5110234324929737,0.02879182288751103,0.004864547774255943,0.019257309249969386,0.03832633652505268,0.01996336114542852,0.03858191227366051,0.0,0.0,True
audience_participation,lower,0.7174659706838407,0.6833532819041066,-0.03411268877973406,0.005383633748194772,-0.04466461092619581,-0.023560766633272303,-0.04553319341332672,-0.024880732485133124,0.9948283236258293,0.9948721908714749,True
semantic_span,lower,0.1254745264614346,0.11623211610222559,-0.009242410359209002,0.0011711100901302485,-0.01153778613586429,-0.006947034582553715,-0.011274243376555025,-0.006782689756110938,0.32297324592021043,0.32593954918506957,True
