omitted_source_macro,metric,broad,specialized,contrast_specialized_minus_broad,direction_concordant
0,directed_modularity,0.4787638660552605,0.5078149673557291,0.029051101300468563,True
0,audience_participation,0.7201631982780139,0.6857570623907291,-0.034406135887284806,True
0,semantic_span,0.12516880417882909,0.1158837806773434,-0.00928502350148569,True
1,directed_modularity,0.48174910872261556,0.5104067016815919,0.028657592958976297,True
1,audience_participation,0.7170289502523433,0.6828811471627011,-0.03414780308964216,True
1,semantic_span,0.12583197522139664,0.11661749258600343,-0.009214482635393206,True
2,directed_modularity,0.4831165993600929,0.5116412377441136,0.02852463838402075,True
2,audience_participation,0.7160635856657942,0.682000086093589,-0.034063499572205225,True
2,semantic_span,0.12539455108798664,0.11618087510697542,-0.009213675981011221,True
3,directed_modularity,0.4808093514423011,0.5089469106731995,0.028137559230898446,True
3,audience_participation,0.7181243881547712,0.6845689502457466,-0.0335554379090246,True
3,semantic_span,0.12597064600250074,0.1167004471176691,-0.009270198884831646,True
4,directed_modularity,0.48039901786245554,0.5086633327347558,0.0282643148723003,True
4,audience_participation,0.7184596162316601,0.6850163227447935,-0.03344329348686659,True
4,semantic_span,0.12574207563372977,0.11646349455681598,-0.009278581076913789,True
5,directed_modularity,0.47978309887386983,0.5098844059515931,0.030101307077723294,True
5,audience_participation,0.7189527122162842,0.6836994247098016,-0.0352532875064826,True
5,semantic_span,0.12608073627997066,0.11680134441331139,-0.00927939186665927,True
6,directed_modularity,0.48439653998629373,0.5132227617542444,0.028826221767950688,True
6,audience_participation,0.7142339902549939,0.6797809008995469,-0.034453089355447,True
6,semantic_span,0.12521583153678661,0.11601435521236705,-0.00920147632441956,True
7,directed_modularity,0.4757691504547512,0.5036594845027036,0.02789033404795238,True
7,audience_participation,0.7244010218722714,0.6915603678958249,-0.03284065397644653,True
7,semantic_span,0.12671569602279345,0.11759665232632402,-0.009119043696469431,True
8,directed_modularity,0.48534580461024757,0.514182594530966,0.028836789920718475,True
8,audience_participation,0.7140706654328772,0.679638830696883,-0.034431834735994205,True
8,semantic_span,0.12377564906385614,0.11441619315028248,-0.009359455913573664,True
9,directed_modularity,0.483643293804182,0.5133443978885451,0.02970110408436316,True
