measure,stage,covariate,mean_broad,mean_specialized,smd
hhi,raw,authors_count,4.8415232865264946,4.870158993793641,0.0011148736363659193
hhi,raw,reference_count,26.088194476752097,27.23250346362148,0.03814421021015557
hhi,raw,countries_count,1.0867039845648914,1.1243043317540107,0.03560026836645454
hhi,raw,institutions_count,2.03767925626371,2.161846609439687,0.03401992772643551
hhi,raw,is_oa,0.6842184264510573,0.5352203969161737,-0.3090663147963873
hhi,standardized,authors_count,5.0944116918058455,4.929168993988671,-0.014133794021261834
hhi,standardized,reference_count,30.021323653577422,30.847463607554793,0.027465884129810943
hhi,standardized,countries_count,1.175385227639502,1.2079416260824347,0.03257776532225958
hhi,standardized,institutions_count,2.2849555548739313,2.3614743350689453,0.024493110156843734
hhi,standardized,is_oa,0.7096561237477539,0.513032836085829,-0.4118388597351735
entropy,raw,authors_count,4.9885637466983495,4.769214634888953,-0.00822183302435714
entropy,raw,reference_count,26.050799714821906,26.808687562374196,0.02509125814992296
entropy,raw,countries_count,1.102555606451317,1.1091673855556872,0.0061684624221392485
entropy,raw,institutions_count,2.112281956368334,2.100148288480297,-0.003285779042322125
entropy,raw,is_oa,0.6300411381781081,0.552775475453464,-0.15766794484735253
entropy,standardized,authors_count,5.018076115480619,4.840325549374011,-0.014218815885878198
entropy,standardized,reference_count,28.280389798045338,30.37890845733103,0.0697069927784455
entropy,standardized,countries_count,1.1494069941147407,1.1922906539259466,0.04257537419496957
entropy,standardized,institutions_count,2.232797369740974,2.3115613566025166,0.02570853646514407
entropy,standardized,is_oa,0.6630624678959594,0.5243418506447967,-0.2853047229007492
